2018 - 2019  NFL Schedule,,,,,
,,,,,
, Denver Broncos , New York Jets, Denver Broncos @  New York Jets,1:00 PM,"MetLife Stadium, East Rutherford"
, Green Bay Packers , Detroit Lions, Green Bay Packers @  Detroit Lions,1:00 PM,"Ford Field, Detroit"
, Jacksonville Jaguars , Kansas City Chiefs, Jacksonville Jaguars @  Kansas City Chiefs,1:00 PM,"Arrowhead Stadium, Kansas City"
, Miami Dolphins , Cincinnati Bengals, Miami Dolphins @  Cincinnati Bengals,1:00 PM,"Paul Brown Stadium, Cincinnati"
, New York Giants , Carolina Panthers, New York Giants @  Carolina Panthers,1:00 PM,"Bank of America Stadium, Charlotte"
, Tennessee Titans , Buffalo Bills, Tennessee Titans @  Buffalo Bills,1:00 PM,"New Era Field, Buffalo"
, Oakland Raiders , Los Angeles Chargers, Oakland Raiders @  Los Angeles Chargers,4:05 PM,"StubHub Center, Carson"
, Arizona Cardinals , San Francisco 49ers, Arizona Cardinals @  San Francisco 49ers,4:25 PM,"Levi's Stadium, Santa Clara"
, Los Angeles Rams , Seattle Seahawks, Los Angeles Rams @  Seattle Seahawks,4:25 PM,"CenturyLink Field, Seattle"
, Minnesota Vikings , Philadelphia Eagles, Minnesota Vikings @  Philadelphia Eagles,4:25 PM,"Lincoln Financial Field, Philadelphia"
, Dallas Cowboys , Houston Texans, Dallas Cowboys @  Houston Texans,8:20 PM,"NRG Stadium, Houston"
"Monday, October 8, 2018", Washington Redskins , New Orleans Saints, Washington Redskins @  New Orleans Saints,8:15 PM,"Mercedes-Benz Superdome, New Orleans"
," Bye: Chicago, Tampa Bay",," Bye: Chicago, Tampa Bay",,
,,,,,
WEEK 6:,,,,,
"Thursday, October 11, 2018", Philadelphia Eagles , New York Giants, Philadelphia Eagles @  New York Giants,8:20 PM,"MetLife Stadium, East Rutherford"
"Sunday, October 14, 2018", Arizona Cardinals , Minnesota Vikings, Arizona Cardinals @  Minnesota Vikings,1:00 PM,"U.S. Bank Stadium, Minneapolis"
, Buffalo Bills , Houston Texans, Buffalo Bills @  Houston Texans,1:00 PM,"NRG Stadium, Houston"
, Carolina Panthers , Washington Redskins, Carolina Panthers @  Washington Redskins,1:00 PM,"FedEx Field, Landover"
, Chicago Bears , Miami Dolphins, Chicago Bears @  Miami Dolphins,1:00 PM,"Hard Rock Stadium, Miami Gardens"
, Indianapolis Colts , New York Jets, Indianapolis Colts @  New York Jets,1:00 PM,"MetLife Stadium, East Rutherford"
, Los Angeles Chargers , Cleveland Browns, Los Angeles Chargers @  Cleveland Browns,1:00 PM,"FirstEnergy Stadium, Cleveland"
, Pittsburgh Steelers , Cincinnati Bengals, Pittsburgh Steelers @  Cincinnati Bengals,1:00 PM,"Paul Brown Stadium, Cincinnati"
, Seattle Seahawks , Oakland Raiders ¹, Seattle Seahawks @  Oakland Raiders ¹,1:00 PM,"Tottenham Stadium, London"
, Tampa Bay Buccaneers , Atlanta Falcons, Tampa Bay Buccaneers @  Atlanta Falcons,1:00 PM,"Mercedes-Benz Stadium, Atlanta"
, Los Angeles Rams , Denver Broncos, Los Angeles Rams @  Denver Broncos,4:05 PM,"Sports Authority Field at Mile High, Denver"
, Baltimore Ravens , Tennessee Titans, Baltimore Ravens @  Tennessee Titans,4:25 PM,"Nissan Stadium, Nashville"
, Jacksonville Jaguars , Dallas Cowboys, Jacksonville Jaguars @  Dallas Cowboys,4:25 PM,"AT&T Stadium, Arlington"
, Kansas City Chiefs , New England Patriots, Kansas City Chiefs @  New England Patriots,8:20 PM,"Gillette Stadium, Foxboro"
"Monday, October 15, 2018", San Francisco 49ers , Green Bay Packers, San Francisco 49ers @  Green Bay Packers,8:15 PM,"Lambeau Field, Green Bay"
," Bye: Detroit, New Orleans",," Bye: Detroit, New Orleans",,
,,,,,
WEEK 7:,,,,,
"Thursday, October 18, 2018", Denver Broncos , Arizona Cardinals, Denver Broncos @  Arizona Cardinals,8:20 PM,"U of Phoenix Stadium, Glendale"
"Sunday, October 21, 2018", Tennessee Titans , Los Angeles Chargers ¹, Tennessee Titans @  Los Angeles Chargers ¹,9:30 AM,"Wembley Stadium, London"
, Buffalo Bills , Indianapolis Colts, Buffalo Bills @  Indianapolis Colts,1:00 PM,"Lucas Oil Stadium, Indianapolis"
, Carolina Panthers , Philadelphia Eagles, Carolina Panthers @  Philadelphia Eagles,1:00 PM,"Lincoln Financial Field, Philadelphia"
, Cincinnati Bengals , Kansas City Chiefs, Cincinnati Bengals @  Kansas City Chiefs,1:00 PM,"Arrowhead Stadium, Kansas City"
, Cleveland Browns , Tampa Bay Buccaneers, Cleveland Browns @  Tampa Bay Buccaneers,1:00 PM,"Raymond James Stadium, Tampa"
, Detroit Lions , Miami Dolphins, Detroit Lions @  Miami Dolphins,1:00 PM,"Hard Rock Stadium, Miami Gardens"
, Houston Texans , Jacksonville Jaguars, Houston Texans @  Jacksonville Jaguars,1:00 PM,"TIAA Bank Field, Jacksonville"
, Minnesota Vikings , New York Jets, Minnesota Vikings @  New York Jets,1:00 PM,"MetLife Stadium, East Rutherford"
, New England Patriots , Chicago Bears, New England Patriots @  Chicago Bears,1:00 PM,"Soldier Field, Chicago"
, New Orleans Saints , Baltimore Ravens, New Orleans Saints @  Baltimore Ravens,4:05 PM,"M&T Bank Stadium, Baltimore"
, Dallas Cowboys , Washington Redskins, Dallas Cowboys @  Washington Redskins,4:25 PM,"FedEx Field, Landover"
, Los Angeles Rams , San Francisco 49ers, Los Angeles Rams @  San Francisco 49ers,8:20 PM,"Levi's Stadium, Santa Clara"
"Monday, October 22, 2018", New York Giants , Atlanta Falcons, New York Giants @  Atlanta Falcons,8:15 PM,"Mercedes-Benz Stadium, Atlanta"
," Bye: Green Bay, Oakland, Pittsburgh, Seattle",," Bye: Green Bay, Oakland, Pittsburgh, Seattle",,
,,,,,
WEEK 8:,,,,,
"Thursday, October 25, 2018", Miami Dolphins , Houston Texans, Miami Dolphins @  Houston Texans,8:20 PM,"NRG Stadium, Houston"
"Sunday, October 28, 2018", Philadelphia Eagles , Jacksonville Jaguars, Philadelphia Eagles @  Jacksonville Jaguars,9:30 AM,"Wembley Stadium, London"
, Baltimore Ravens , Carolina Panthers, Baltimore Ravens @  Carolina Panthers,1:00 PM,"Bank of America Stadium, Charlotte"
, Cleveland Browns , Pittsburgh Steelers, Cleveland Browns @  Pittsburgh Steelers,1:00 PM,"Heinz Field, Pittsburgh"
, Denver Broncos , Kansas City Chiefs, Denver Broncos @  Kansas City Chiefs,1:00 PM,"Arrowhead Stadium, Kansas City"
